ModuloParteAnotacao,PosiçãoInicial,Tamanho,Codigo,Numero,Descricao,Tipo,Categoria
,,,,,Onde ___ procurou o último atendimento de saúde por este motivo nas duas últimas semanas,06,"Consultório particular, clínica privada ou ambulatório de hospital privado"
,,,,,Onde ___ procurou o último atendimento de saúde por este motivo nas duas últimas semanas,07,Pronto atendimento ou emergência de hospital privado.
,,,,,Onde ___ procurou o último atendimento de saúde por este motivo nas duas últimas semanas,08,No domicílio
,,,,,Onde ___ procurou o último atendimento de saúde por este motivo nas duas últimas semanas,09,Outro serviço
,,,,,Onde ___ procurou o último atendimento de saúde por este motivo nas duas últimas semanas,99,Ignorado
,,,,,Onde ___ procurou o último atendimento de saúde por este motivo nas duas últimas semanas,,Não aplicável
,401.0,1.0,J021,J21,"Nessa última vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas, ___ foi atendido (a)",1,Sim
,,,,,"Nessa última vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas, ___ foi atendido (a)",2,Não
,,,,,"Nessa última vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas, ___ foi atendido (a)",9 ,Ignorado
,,,,,"Nessa última vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas, ___ foi atendido (a)",,Não aplicável
,402.0,1.0,J022010,J22a,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,1,Não conseguiu vaga nem pegar senha
,,,,,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,2,Não tinha médico ou dentista atendendo
,,,,,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,3,Não havia serviço ou profissional de saúde especializado para atender
,,,,,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,4, Esperou muito e desistiu
,,,,,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,5,O serviço de saúde não estava funcionando
,,,,,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,6,Os equipamentos do serviço de saúde não estavam funcionando ou disponíveis para uso
,,,,,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,7,Não podia pagar pela consulta
,,,,,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,8,Outro 
,,,,,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,9 ,Ignorado
,,,,,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,,Não aplicável
,403.0,1.0,J023,J23,Este serviço de saúde onde___ foi atendido era:,1,Público  
,,,,,Este serviço de saúde onde___ foi atendido era:,2,Privado 
,,,,,Este serviço de saúde onde___ foi atendido era:,3,Não sabe/Não lembra
,,,,,Este serviço de saúde onde___ foi atendido era:,,Não aplicável
,404.0,1.0,J024,J24,Este atendimento de saúde de ___ foi coberto por algum plano de saúde,1,Sim
,,,,,Este atendimento de saúde de ___ foi coberto por algum plano de saúde,2,Não
,,,,,Este atendimento de saúde de ___ foi coberto por algum plano de saúde,9 ,Ignorado
,,,,,Este atendimento de saúde de ___ foi coberto por algum plano de saúde,,Não aplicável
,405.0,1.0,J025,J25,___ pagou algum valor por este atendimento de saúde recebido nas duas últimas semanas,1,Sim
,,,,,___ pagou algum valor por este atendimento de saúde recebido nas duas últimas semanas,2,Não
,,,,,___ pagou algum valor por este atendimento de saúde recebido nas duas últimas semanas,9 ,Ignorado
,,,,,___ pagou algum valor por este atendimento de saúde recebido nas duas últimas semanas,,Não aplicável
,406.0,1.0,J026,J26,O atendimento de ___ foi feito pelo SUS,1,Sim
,,,,,O atendimento de ___ foi feito pelo SUS,2,Não
,,,,,O atendimento de ___ foi feito pelo SUS,3,Não sabe/Não lembra
,,,,,O atendimento de ___ foi feito pelo SUS,,Não aplicável
,407.0,2.0,J02702,J27a,Qual foi o principal atendimento de saúde que ___ recebeu?,01,Consulta médica
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,02,Consulta odontológica
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,03,"Consulta com outro profissional de saúde (fisioterapeuta, fonoaudiólogo, psicólogo, nutricionista, enfermeiro, etc.)"
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,04,Atendimento com agente comunitário de saúde
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,05,Atendimento na farmácia
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,06,Vacinação
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,07,"Medição/aferição de pressão arterial, Injeção, curativo"
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,08,"Quimioterapia, radioterapia, hemodiálise ou hemoterapia"
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,09,"Exame complementar de diagnóstico (sangue, urina, imagem, etc)"
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,10,Gesso ou imobilização
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,11,Pequena cirurgia em ambulatório
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,12,Internação hospitalar ou cirurgia
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,13,"Práticas integrativas e complementares como acupuntura, homeopatia, plantas medicinais e fitoterapia, meditação, yoga, tai chi chuan e liang gong."
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,14,"Práticas de promoção de saúde, tais como grupos de atividade física, orientação sobre alimentação saudável, uso abusivo de outras drogas, grupo de cessação de tabagismo."
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,15,Outro atendimento
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,99,Ignorado
,,,,,Qual foi o principal atendimento de saúde que ___ recebeu?,,Não aplicável
,409.0,1.0,J02901,J29a,"Neste atendimento de ___, foi receitado algum medicamento",1,Sim
,,,,,"Neste atendimento de ___, foi receitado algum medicamento",2,Não
,,,,,"Neste atendimento de ___, foi receitado algum medicamento",9 ,Ignorado
,,,,,"Neste atendimento de ___, foi receitado algum medicamento",,Não aplicável
,410.0,1.0,J03001,J30a,__conseguiu obter os medicamentos receitados? (Leia as opções de resposta),1,"Sim, todos"
,,,,,__conseguiu obter os medicamentos receitados? (Leia as opções de resposta),2,"Sim, alguns"
,,,,,__conseguiu obter os medicamentos receitados? (Leia as opções de resposta),3,"Não, nenhum"
,,,,,__conseguiu obter os medicamentos receitados? (Leia as opções de resposta),9 ,Ignorado
,,,,,__conseguiu obter os medicamentos receitados? (Leia as opções de resposta),,Não aplicável
,411.0,1.0,J03102,J31a,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,1,Não conseguiu obter no serviço público de saúde
,,,,,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,2,Não conseguiu o(s) medicamento(s) no programa Aqui Tem Farmácia Popular 
,,,,,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,3,Não tinha farmácia próxima ou teve dificuldade de transporte
,,,,,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,4,Não conseguiu encontrar todos os medicamentos na farmácia
,,,,,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,5,Não tinha dinheiro para comprar
,,,,,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,6,Não achou necessário
,,,,,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,7," Desistiu de procurar, pois melhorou"
,,,,,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,8,Outro
,,,,,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,9 ,Ignorado
,,,,,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,,Não aplicável
,412.0,1.0,J032,J32,Algum dos medicamentos foi coberto por plano de saúde,1,"Sim, todos  "
,,,,,Algum dos medicamentos foi coberto por plano de saúde,2,"Sim, alguns "
,,,,,Algum dos medicamentos foi coberto por plano de saúde,3,"Não, nenhum"
,,,,,Algum dos medicamentos foi coberto por plano de saúde,9 ,Ignorado
,,,,,Algum dos medicamentos foi coberto por plano de saúde,,Não aplicável
,413.0,1.0,J03301,J33a,Algum dos medicamentos foi obtido no programa Aqui Tem Farmácia Popular,1,"Sim, todos  "
,,,,,Algum dos medicamentos foi obtido no programa Aqui Tem Farmácia Popular,2,"Sim, alguns "
,,,,,Algum dos medicamentos foi obtido no programa Aqui Tem Farmácia Popular,3,"Não, nenhum"
,,,,,Algum dos medicamentos foi obtido no programa Aqui Tem Farmácia Popular,9 ,Ignorado
,,,,,Algum dos medicamentos foi obtido no programa Aqui Tem Farmácia Popular,,Não aplicável
,414.0,1.0,J034,J34,Algum dos medicamentos foi obtido em serviço público de saúde,1,"Sim, todos  "
,,,,,Algum dos medicamentos foi obtido em serviço público de saúde,2,"Sim, alguns "
,,,,,Algum dos medicamentos foi obtido em serviço público de saúde,3,"Não, nenhum"
,,,,,Algum dos medicamentos foi obtido em serviço público de saúde,9 ,Ignorado
,,,,,Algum dos medicamentos foi obtido em serviço público de saúde,,Não aplicável
,415.0,1.0,J035,J35,___ pagou algum valor pelos medicamentos,1,Sim
,,,,,___ pagou algum valor pelos medicamentos,2,Não
,,,,,___ pagou algum valor pelos medicamentos,9 ,Ignorado
,,,,,___ pagou algum valor pelos medicamentos,,Não aplicável
,416.0,2.0,J03602,J36a,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",01,Não houve necessidade
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",02,Não tinha dinheiro
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",03, O local de atendimento era distante ou teve dificuldade de transporte
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",04, Horário incompatível
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",05,O atendimento é muito demorado
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",06, O estabelecimento não possuía especialista compatível com suas necessidades
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",07, Achou que não tinha direito
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",08,Não tinha quem o(a) acompanhasse
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",09,Não gostava dos profissionais do estabelecimento
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",10,Greve nos serviços de saúde
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",11,Outro motivo
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",99,Ignorado
,,,,,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",,Não aplicável
,418.0,1.0,J037,J37,"Nos últimos 12 meses, ___ ficou internado(a) em hospital por 24 horas ou mais",1,Sim
,,,,,"Nos últimos 12 meses, ___ ficou internado(a) em hospital por 24 horas ou mais",2,Não
,,,,,"Nos últimos 12 meses, ___ ficou internado(a) em hospital por 24 horas ou mais",9 ,Ignorado
,,,,,"Nos últimos 12 meses, ___ ficou internado(a) em hospital por 24 horas ou mais",,Não aplicável
,419.0,2.0,J038,J38,"Nos últimos 12 meses, quantas vezes ___ esteve internado(a)",01 a 98,Vezes
,,,,,"Nos últimos 12 meses, quantas vezes ___ esteve internado(a)",99,Ignorado
,,,,,"Nos últimos 12 meses, quantas vezes ___ esteve internado(a)",,Não aplicável
,421.0,1.0,J039,J39,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,1, Parto normal
,,,,,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,2, Parto cesáreo
,,,,,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,3, Tratamento clínico
,,,,,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,4, Tratamento psiquiátrico
,,,,,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,5, Cirurgia 
,,,,,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,6, Exames complementares de diagnóstico
,,,,,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,7,Outro
,,,,,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,9 ,Ignorado
,,,,,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,,Não aplicável
,422.0,2.0,J04001,J40,Quanto tempo em meses o morador ficou internado,00 a 12,Meses
,,,,,Quanto tempo em meses o morador ficou internado,88,Morador ainda está internado
,,,,,Quanto tempo em meses o morador ficou internado,99,Ignorado
,,,,,Quanto tempo em meses o morador ficou internado,,Não aplicável
,424.0,2.0,J04002,J40,Quanto tempo em dias o morador ficou internado,00 a 31,Dias
,,,,,Quanto tempo em dias o morador ficou internado,88,Morador ainda está internado
,,,,,Quanto tempo em dias o morador ficou internado,99,Ignorado
,,,,,Quanto tempo em dias o morador ficou internado,,Não aplicável
,426.0,1.0,J041,J41,O estabelecimento de saúde em que ___ esteve internado(a) pela última vez nos últimos 12 meses era,1,Público
,,,,,O estabelecimento de saúde em que ___ esteve internado(a) pela última vez nos últimos 12 meses era,2,Privado
,,,,,O estabelecimento de saúde em que ___ esteve internado(a) pela última vez nos últimos 12 meses era,3,Não sabe/Não lembra
,,,,,O estabelecimento de saúde em que ___ esteve internado(a) pela última vez nos últimos 12 meses era,,Não aplicável
,427.0,1.0,J042,J42,A última internação de ___ nos últimos 12 meses foi coberta por algum plano de saúde,1,Sim
,,,,,A última internação de ___ nos últimos 12 meses foi coberta por algum plano de saúde,2,Não
,,,,,A última internação de ___ nos últimos 12 meses foi coberta por algum plano de saúde,9 ,Ignorado
,,,,,A última internação de ___ nos últimos 12 meses foi coberta por algum plano de saúde,,Não aplicável
,428.0,1.0,J043,J43,"___ pagou algum valor por esta última internação? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",1,Sim
,,,,,"___ pagou algum valor por esta última internação? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",2,Não 
,,,,,"___ pagou algum valor por esta última internação? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",9 ,Ignorado
,,,,,"___ pagou algum valor por esta última internação? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",,Não aplicável
,429.0,1.0,J044,J44,Esta última internação de ___ foi feita através do Sistema Único de Saúde (SUS),1,Sim
,,,,,Esta última internação de ___ foi feita através do Sistema Único de Saúde (SUS),2,Não  
,,,,,Esta última internação de ___ foi feita através do Sistema Único de Saúde (SUS),3,Não sabe/Não lembra
,,,,,Esta última internação de ___ foi feita através do Sistema Único de Saúde (SUS),,Não aplicável
,430.0,1.0,J046,J46,"Nos últimos 12 meses, ___ teve atendimento de urgência ou emergência no domicílio",1,Sim
,,,,,"Nos últimos 12 meses, ___ teve atendimento de urgência ou emergência no domicílio",2,Não
,,,,,"Nos últimos 12 meses, ___ teve atendimento de urgência ou emergência no domicílio",9 ,Ignorado
,,,,,"Nos últimos 12 meses, ___ teve atendimento de urgência ou emergência no domicílio",,Não aplicável
,431.0,1.0,J047,J47,Este atendimento foi coberto por algum plano de saúde,1,Sim
,,,,,Este atendimento foi coberto por algum plano de saúde,2,Não  
,,,,,Este atendimento foi coberto por algum plano de saúde,9 ,Ignorado
,,,,,Este atendimento foi coberto por algum plano de saúde,,Não aplicável
,432.0,1.0,J048,J48,"___pagou algum valor por este atendimento? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",1,Sim
,,,,,"___pagou algum valor por este atendimento? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",2,Não  
,,,,,"___pagou algum valor por este atendimento? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",9 ,Ignorado
,,,,,"___pagou algum valor por este atendimento? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",,Não aplicável
,433.0,1.0,J049,J49,Este atendimento foi feito através do Sistema Único de Saúde (SUS),1,Sim
,,,,,Este atendimento foi feito através do Sistema Único de Saúde (SUS),2,Não  
,,,,,Este atendimento foi feito através do Sistema Único de Saúde (SUS),3,Não sabe/Não lembra
,,,,,Este atendimento foi feito através do Sistema Único de Saúde (SUS),,Não aplicável
,434.0,1.0,J051,J51,"Neste atendimento, ___ foi transportado por ambulância para um serviço de saúde",1,Sim
,,,,,"Neste atendimento, ___ foi transportado por ambulância para um serviço de saúde",2,Não  
,,,,,"Neste atendimento, ___ foi transportado por ambulância para um serviço de saúde",9 ,Ignorado
,,,,,"Neste atendimento, ___ foi transportado por ambulância para um serviço de saúde",,Não aplicável
,435.0,1.0,J052,J52,O transporte foi feito por,1, SAMU
,,,,,O transporte foi feito por,2, Ambulância de serviço público de saúde
,,,,,O transporte foi feito por,3,Ambulância de serviço de saúde privado/plano de saúde 
,,,,,O transporte foi feito por,4, Corpo de Bombeiros
,,,,,O transporte foi feito por,5,Outro
,,,,,O transporte foi feito por,9 ,Ignorado
,,,,,O transporte foi feito por,,Não aplicável
,436.0,1.0,J05301,J53a,"Nos últimos doze meses, ___ utilizou tratamento como acupuntura, homeopatia, plantas medicinais e fitoterapia, meditação, yoga, tai chi chuan, lian gong ou outra prática integrativa e complementar a saúde?",1,Sim
,,,,,"Nos últimos doze meses, ___ utilizou tratamento como acupuntura, homeopatia, plantas medicinais e fitoterapia, meditação, yoga, tai chi chuan, lian gong ou outra prática integrativa e complementar a saúde?",2,Não  
,,,,,"Nos últimos doze meses, ___ utilizou tratamento como acupuntura, homeopatia, plantas medicinais e fitoterapia, meditação, yoga, tai chi chuan, lian gong ou outra prática integrativa e complementar a saúde?",9 ,Ignorado
,,,,,"Nos últimos doze meses, ___ utilizou tratamento como acupuntura, homeopatia, plantas medicinais e fitoterapia, meditação, yoga, tai chi chuan, lian gong ou outra prática integrativa e complementar a saúde?",,Não aplicável
,437.0,1.0,J05402,J54,Qual tratamento _________ fez uso Acupuntura,1,Sim
,,,,,Qual tratamento _________ fez uso Acupuntura,2,Não  
,,,,,Qual tratamento _________ fez uso Acupuntura,9 ,Ignorado
,,,,,Qual tratamento _________ fez uso Acupuntura,,Não aplicável
,438.0,1.0,J05403,J54,Qual tratamento _________ fez uso Homeopatia,1,Sim
,,,,,Qual tratamento _________ fez uso Homeopatia,2,Não  
,,,,,Qual tratamento _________ fez uso Homeopatia,9 ,Ignorado
,,,,,Qual tratamento _________ fez uso Homeopatia,,Não aplicável
,439.0,1.0,J05404,J54,Qual tratamento _________ fez uso plantas medicinais e fitoterapia,1,Sim
,,,,,Qual tratamento _________ fez uso plantas medicinais e fitoterapia,2,Não  
,,,,,Qual tratamento _________ fez uso plantas medicinais e fitoterapia,9 ,Ignorado
,,,,,Qual tratamento _________ fez uso plantas medicinais e fitoterapia,,Não aplicável
,440.0,1.0,J05405,J54,Qual tratamento _________ fez uso auriculoterapia,1,Sim
,,,,,Qual tratamento _________ fez uso auriculoterapia,2,Não  
,,,,,Qual tratamento _________ fez uso auriculoterapia,9 ,Ignorado
,,,,,Qual tratamento _________ fez uso auriculoterapia,,Não aplicável
,441.0,1.0,J05406,J54,Qual tratamento _________ fez uso meditação,1,Sim
,,,,,Qual tratamento _________ fez uso meditação,2,Não  
,,,,,Qual tratamento _________ fez uso meditação,9 ,Ignorado
,,,,,Qual tratamento _________ fez uso meditação,,Não aplicável
,442.0,1.0,J05407,J54,Qual tratamento _________ fez uso Yoga,1,Sim
,,,,,Qual tratamento _________ fez uso Yoga,2,Não  
,,,,,Qual tratamento _________ fez uso Yoga,9 ,Ignorado
,,,,,Qual tratamento _________ fez uso Yoga,,Não aplicável
,443.0,1.0,J05408,J54,"Qual tratamento _________ fez uso Tai chi chuan, Lian gong, Qi gong",1,Sim
,,,,,"Qual tratamento _________ fez uso Tai chi chuan, Lian gong, Qi gong",2,Não  
,,,,,"Qual tratamento _________ fez uso Tai chi chuan, Lian gong, Qi gong",9 ,Ignorado
,,,,,"Qual tratamento _________ fez uso Tai chi chuan, Lian gong, Qi gong",,Não aplicável
,444.0,1.0,J05409,J54,Qual tratamento _________ fez uso Terapia comunitária integrativa,1,Sim
,,,,,Qual tratamento _________ fez uso Terapia comunitária integrativa,2,Não  
,,,,,Qual tratamento _________ fez uso Terapia comunitária integrativa,9 ,Ignorado
,,,,,Qual tratamento _________ fez uso Terapia comunitária integrativa,,Não aplicável
,445.0,1.0,J054010,J54,Qual tratamento _________ fez uso Outro,1,Sim
,,,,,Qual tratamento _________ fez uso Outro,2,Não  
,,,,,Qual tratamento _________ fez uso Outro,9 ,Ignorado
,,,,,Qual tratamento _________ fez uso Outro,,Não aplicável
,446.0,1.0,J056,J56,___ pagou algum valor por este(s) tratamento(s),1,"Sim, todos"
,,,,,___ pagou algum valor por este(s) tratamento(s),2,"Sim, alguns"
,,,,,___ pagou algum valor por este(s) tratamento(s),3,Não
,,,,,___ pagou algum valor por este(s) tratamento(s),9 ,Ignorado
,,,,,___ pagou algum valor por este(s) tratamento(s),,Não aplicável
,447.0,1.0,J057,J57,Este(s) tratamento(s) foi (foram) feito(s) através do Sistema Único de Saúde (SUS):,1,"Sim, todos"
,,,,,Este(s) tratamento(s) foi (foram) feito(s) através do Sistema Único de Saúde (SUS):,2,"Sim, alguns"
,,,,,Este(s) tratamento(s) foi (foram) feito(s) através do Sistema Único de Saúde (SUS):,3,Não
,,,,,Este(s) tratamento(s) foi (foram) feito(s) através do Sistema Único de Saúde (SUS):,4,Não sabe/Não lembra
,,,,,Este(s) tratamento(s) foi (foram) feito(s) através do Sistema Único de Saúde (SUS):,,Não aplicável
,448.0,1.0,J060,J60,Informante do Módulo J,1,Própria pessoa
,,,,,Informante do Módulo J,2,Outro morador
,,,,,Informante do Módulo J,3,Pessoa não moradora
,,,,,Informante do Módulo J,9,Ignorado
,,,,,Informante do Módulo J,,Não aplicável
Módulo K - Saúde dos indivíduos com 60 anos ou mais ,,,,,,,
,449.0,1.0,K001,K1,"Em geral, que grau de dificuldade ___ tem para comer sozinho (a) com um prato colocado à sua frente, incluindo segurar um garfo, cortar alimentos e beber em um copo",1,Não consegue
,,,,,"Em geral, que grau de dificuldade ___ tem para comer sozinho (a) com um prato colocado à sua frente, incluindo segurar um garfo, cortar alimentos e beber em um copo",2,Tem grande dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para comer sozinho (a) com um prato colocado à sua frente, incluindo segurar um garfo, cortar alimentos e beber em um copo",3,Tem pequena dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para comer sozinho (a) com um prato colocado à sua frente, incluindo segurar um garfo, cortar alimentos e beber em um copo",4,Não tem dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para comer sozinho (a) com um prato colocado à sua frente, incluindo segurar um garfo, cortar alimentos e beber em um copo",9 ,Ignorado
,,,,,"Em geral, que grau de dificuldade ___ tem para comer sozinho (a) com um prato colocado à sua frente, incluindo segurar um garfo, cortar alimentos e beber em um copo",,Não aplicável
,450.0,1.0,K004,K4,"Em geral, que grau de dificuldade ___ tem para tomar banho sozinho(a) incluindo entrar e sair do chuveiro ou banheira",1,Não consegue
,,,,,"Em geral, que grau de dificuldade ___ tem para tomar banho sozinho(a) incluindo entrar e sair do chuveiro ou banheira",2,Tem grande dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para tomar banho sozinho(a) incluindo entrar e sair do chuveiro ou banheira",3,Tem pequena dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para tomar banho sozinho(a) incluindo entrar e sair do chuveiro ou banheira",4,Não tem dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para tomar banho sozinho(a) incluindo entrar e sair do chuveiro ou banheira",9 ,Ignorado
,,,,,"Em geral, que grau de dificuldade ___ tem para tomar banho sozinho(a) incluindo entrar e sair do chuveiro ou banheira",,Não aplicável
,451.0,1.0,K007,K7,"Em geral, que grau de dificuldade ___ tem para ir ao banheiro sozinho(a) incluindo sentar e levantar do vaso sanitário",1,Não consegue
,,,,,"Em geral, que grau de dificuldade ___ tem para ir ao banheiro sozinho(a) incluindo sentar e levantar do vaso sanitário",2,Tem grande dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para ir ao banheiro sozinho(a) incluindo sentar e levantar do vaso sanitário",3,Tem pequena dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para ir ao banheiro sozinho(a) incluindo sentar e levantar do vaso sanitário",4,Não tem dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para ir ao banheiro sozinho(a) incluindo sentar e levantar do vaso sanitário",9 ,Ignorado
,,,,,"Em geral, que grau de dificuldade ___ tem para ir ao banheiro sozinho(a) incluindo sentar e levantar do vaso sanitário",,Não aplicável
,452.0,1.0,K010,K10,"Em geral, que grau de dificuldade ___ tem para se vestir sozinho(a), incluindo calçar meias e sapatos, fechar o zíper, e fechar e abrir botões",1,Não consegue
,,,,,"Em geral, que grau de dificuldade ___ tem para se vestir sozinho(a), incluindo calçar meias e sapatos, fechar o zíper, e fechar e abrir botões",2,Tem grande dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para se vestir sozinho(a), incluindo calçar meias e sapatos, fechar o zíper, e fechar e abrir botões",3,Tem pequena dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para se vestir sozinho(a), incluindo calçar meias e sapatos, fechar o zíper, e fechar e abrir botões",4,Não tem dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para se vestir sozinho(a), incluindo calçar meias e sapatos, fechar o zíper, e fechar e abrir botões",9 ,Ignorado
,,,,,"Em geral, que grau de dificuldade ___ tem para se vestir sozinho(a), incluindo calçar meias e sapatos, fechar o zíper, e fechar e abrir botões",,Não aplicável
,453.0,1.0,K013,K13,"Em geral, que grau de dificuldade ___ tem para andar em casa sozinho(a) de um cômodo a outro em um mesmo andar, como do quarto para a sala",1,Não consegue
,,,,,"Em geral, que grau de dificuldade ___ tem para andar em casa sozinho(a) de um cômodo a outro em um mesmo andar, como do quarto para a sala",2,Tem grande dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para andar em casa sozinho(a) de um cômodo a outro em um mesmo andar, como do quarto para a sala",3,Tem pequena dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para andar em casa sozinho(a) de um cômodo a outro em um mesmo andar, como do quarto para a sala",4,Não tem dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para andar em casa sozinho(a) de um cômodo a outro em um mesmo andar, como do quarto para a sala",9 ,Ignorado
,,,,,"Em geral, que grau de dificuldade ___ tem para andar em casa sozinho(a) de um cômodo a outro em um mesmo andar, como do quarto para a sala",,Não aplicável
,454.0,1.0,K016,K16,"Em geral, que grau de dificuldade ___ tem para deitar-se ou levantar-se da cama sozinho(a)",1,Não consegue
,,,,,"Em geral, que grau de dificuldade ___ tem para deitar-se ou levantar-se da cama sozinho(a)",2,Tem grande dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para deitar-se ou levantar-se da cama sozinho(a)",3,Tem pequena dificuldade
,,,,,"Em geral, que grau de dificuldade ___ tem para deitar-se ou levantar-se da cama sozinho(a)",4,Não tem dificuldade
